occ,text,label,count
App developer,"""Shift left"" culture",Other,1
App developer,"$125,000 - $160,000 salary range",Other,1
App developer,1 year of experience leading design projects,Other,1
App developer,10+ years of experience,Other,1
App developer,"2 years of experience working in a complex, cross-functional organization",Other,1
App developer,3 years of experience as a technical practitioner in a developer community,Other,1
App developer,3+ years of design experience,Other,1
App developer,3+ years of experience as a software developer,Other,1
App developer,"3rd party API integrations (Facebook, Dropbox, Instagram, Twitter, GoogleDrive, Bluetooth, Keychain)",Knowledge,1
App developer,3rd party SDK and API integration,Knowledge,1
App developer,4 years of interaction design experience in product design or UX design,Knowledge,1
App developer,40 hours per week,Other,1
App developer,401,Other,1
App developer,401(k) plan,Other,1
App developer,401(k) with 100% match,Other,1
App developer,401K,Other,1
App developer,401k program,Other,3
App developer,5 years of experience in coding in one or more general purpose languages (e.g,Knowledge,1
App developer,"5 years of experience in data development, engineering solutions, and IT documentation",Knowledge,1
App developer,"5 years of experience in job offered, Data Analyst, Data Developer, or related occupational title",Other,1
App developer,5 years of experience with ETL or ELT technologies (DataStage and Informatica),Knowledge,1
App developer,5 years of experience writing SQL and PL/SQL queries,Knowledge,1
App developer,5+ years of experience as a Software Developer,Other,1
App developer,6 years of experience,Other,1
App developer,8 hour shifts,Other,1
App developer,8-hour shifts,Other,1
App developer,A/B experiments,Knowledge,1
App developer,A/B testing,Knowledge,3
App developer,AD,Other,1
App developer,AD&D,Knowledge,3
App developer,AD&D benefits,Other,1
App developer,AD&D insurance,Other,1
App developer,AI,Knowledge,1
App developer,AI / ML expertise,Knowledge,1
App developer,AI Characters,Other,1
App developer,AI Platforms,Knowledge,1
App developer,AI Security,Knowledge,1
App developer,AI Technology,Knowledge,1
App developer,AI and data,Knowledge,1
App developer,AI design,Knowledge,1
App developer,AI research,Knowledge,1
App developer,AI/ML,Knowledge,1
App developer,AJAX,Knowledge,1
App developer,APEX coding language proficiency,Knowledge,1
App developer,API design,Knowledge,3
App developer,API design and maintenance,Knowledge,1
App developer,API design patterns,Knowledge,1
App developer,API development,Knowledge,1
App developer,API integration,Knowledge,1
App developer,API integration experience,Knowledge,1
App developer,API-first product development,Knowledge,1
App developer,APIs,Knowledge,1
App developer,AR/VR or video game design experience,Knowledge,1
App developer,ARCS,Knowledge,1
App developer,AWS,Knowledge,7
App developer,AWS experience,Knowledge,1
App developer,"AWS, EC2, EMR, RDS, Redshift, S3",Knowledge,1
App developer,Ability to adapt to changing requirements and deadlines,Ability,1
App developer,Ability to author technical design specifications and test plans,Ability,1
App developer,Ability to automate and improve release processes,Ability,1
App developer,Ability to break down large features into complete solutions,Ability,2
App developer,Ability to build pixel perfect UIs across platforms,Ability,1
App developer,Ability to collaborate cross-functionally,Ability,1
App developer,"Ability to collaborate with designers, project managers, web developers, and QA testers",Ability,1
App developer,"Ability to commute to San Leandro, CA",Ability,1
App developer,"Ability to commute to Sunnyvale, CA",Ability,1
App developer,"Ability to commute to Sunnyvale, CA 94085 (preferred)",Ability,1
App developer,Ability to contribute technical narrative to proposals,Ability,1
App developer,Ability to define major workstreams and communicate a plan and success measurement framework,Ability,2
App developer,Ability to deliver solid work on tight schedules,Ability,1
App developer,"Ability to deploy APIs to Cloudhub 2.0 and 1.0, Runtime Fabric, On-prem workers",Ability,1
App developer,Ability to design and facilitate asynchronous collaborative work,Ability,2
App developer,Ability to drive company-wide standards in software engineering practices,Ability,1
App developer,Ability to drive strategy for fostering a community of developers,Ability,1
App developer,Ability to exert influence without authority,Ability,1
App developer,Ability to identify system deficiencies and recommend solutions,Ability,1
App developer,"Ability to identify, analyze, and resolve complex technical issues",Ability,1
App developer,Ability to inspire and motivate others,Ability,1
App developer,Ability to learn effectively and meet deadlines,Ability,1
App developer,Ability to prioritize and manage project roadmaps,Ability,1
App developer,Ability to progress and grow within a role,Ability,1
App developer,Ability to prototype new ideas,Ability,1
App developer,Ability to provide reasonable accommodations for disabled applicants,Ability,1
App developer,Ability to quickly become proficient in Swift,Ability,1
App developer,Ability to re-write and re-engineer custom legacy applications to PowerApps solutions,Ability,2
App developer,"Ability to relocate to Sunnyvale, CA",Ability,1
App developer,"Ability to relocate to Sunnyvale, CA 94085 before starting work (preferred)",Other,1
App developer,Ability to share ideas and communicate effectively with team members,Ability,1
App developer,Ability to sit and work at a computer for extended periods of time,Ability,1
App developer,Ability to take ownership of solutions,Ability,1
App developer,Ability to thrive,Ability,1
App developer,Ability to translate business requirements into design/application builds,Ability,1
App developer,Ability to troubleshoot and resolve rendering issues in email clients,Ability,1
App developer,Ability to work across multiple programming languages,Ability,1
App developer,Ability to work in a fast-paced environment,Ability,1
App developer,Ability to work in a fast-paced environment and manage multiple priorities,Ability,1
App developer,Ability to work in a team and collaborate effectively,Ability,1
App developer,Ability to work in an inclusive and diverse environment,Ability,1
App developer,"Ability to work in cross-functional project teams, including app development, IT operations, and information security",Ability,1
App developer,Ability to work independently and in a team,Ability,1
App developer,Ability to work remotely and independently,Ability,1
App developer,Ability to work with a range of discounted,Ability,1
App developer,Ability to work with conflicting schedules and priorities,Ability,1
App developer,Ability to work with cross-functional teams,Ability,1
App developer,Ability to work with different parts of codebase,Ability,1
App developer,Ability to work with diverse backgrounds and perspectives,Ability,1
App developer,Ability to work with engineers and product managers,Ability,1
App developer,Ability to work with international markets,Ability,1
App developer,Ability to work with offsite testers,Ability,1
App developer,"Ability to write code for prototyping, documentation, or infrastructure",Ability,2
App developer,Accessibility standards,Knowledge,1
App developer,Accidental death and dismemberment insurance,Other,1
App developer,Accommodation for individuals with disabilities.,Other,1
App developer,Accommodation request knowledge,Knowledge,1
App developer,Accommodations for disabilities,Other,1
App developer,Account security,Knowledge,1
App developer,Accountability to deadlines,Ability,1
App developer,Actionable dashboards and reports,Knowledge,1
App developer,Adaptability,Ability,7
App developer,Adaptability and ability to assess capacity and bandwidth,Ability,1
App developer,Adaptability and flexibility,Ability,1
App developer,Adaptability to new technologies,Ability,1
App developer,Adherence to brand guidelines,Knowledge,1
App developer,Adoption and surrogacy expense reimbursement,Other,1
App developer,Advanced degree in,Other,1
App developer,Advanced proficiency in SQL,Knowledge,2
App developer,Advanced statistical/ML methods,Knowledge,1
App developer,Advocacy for design-centered changes and improvements,Other,1
App developer,Advocacy for developers' interests,Other,1
App developer,Affirmative action,Other,9
App developer,Affirmative action and equal opportunity understanding,Other,1
App developer,Affirmative action knowledge,Knowledge,2
App developer,Age,Other,1
App developer,Age diversity,Other,1
App developer,Age inclusivity,Other,1
App developer,Agency and third-party recruiter notice knowledge,Other,1
App developer,Agents,Other,2
App developer,Agile and SCRUM practices,Knowledge,1
App developer,Agile culture,Other,1
App developer,Agile development,Knowledge,2
App developer,Agile development methodologies,Knowledge,1
App developer,Agile environment,Other,3
App developer,Agile execution,Knowledge,1
App developer,Agile methodologies,Knowledge,2
App developer,Agile methodologies understanding,Knowledge,1
App developer,Agile methodology,Knowledge,3
App developer,Agile processes,Knowledge,1
App developer,Agile/Scrum project execution,Knowledge,1
App developer,Airflow,Knowledge,2
App developer,"Airflow, Mode, Prefect",Knowledge,2
App developer,Algorithms,Knowledge,1
App developer,Alignment of teams and stakeholders,Skill,1
App developer,Analysis,Knowledge,1
App developer,Analytical and problem-solving skills,Skill,1
App developer,Analytical mindset,Skill,1
App developer,Analytical problem-solving,Skill,1
App developer,Analytical skills,Skill,7
App developer,Analytical views,Knowledge,1
App developer,Analytics,Knowledge,1
App developer,Ancestry diversity,Other,1
App developer,Android,Knowledge,1
App developer,Android SDK,Knowledge,1
App developer,Android and iOS design,Knowledge,1
App developer,Android app development,Knowledge,1
App developer,Android development,Knowledge,6
App developer,Animation implementation,Knowledge,1
App developer,Annual CalTrain Go Pass,Other,1
App developer,Anomaly detection,Knowledge,4
App developer,Apache Kafka,Knowledge,1
App developer,Apache Thrift,Knowledge,1
App developer,Apex,Knowledge,1
App developer,Apex and Lightning custom development,Knowledge,1
App developer,Apollo,Other,1
App developer,App Store ecosystem knowledge,Knowledge,1
App developer,App Store submission process,Knowledge,1
App developer,App and UI development experience,Knowledge,1
App developer,App development,Knowledge,2
App developer,App development experience,Knowledge,2
App developer,App ecosystem management,Knowledge,1
App developer,App profiling,Knowledge,1
App developer,Apple development tools,Knowledge,1
App developer,Apple device management,Knowledge,1
App developer,Apple frameworks,Knowledge,1
App developer,Apple's design principles,Knowledge,1
App developer,Applicant and candidate privacy policies,Other,1
App developer,Applicant and candidate privacy policy knowledge,Knowledge,1
App developer,Applicant tracking system knowledge,Knowledge,1
App developer,Application Business Objects,Knowledge,1
App developer,Application Business Processes,Knowledge,1
App developer,Application Gateway,Knowledge,1
App developer,Application Security Domains,Knowledge,1
App developer,Application development,Knowledge,1
App developer,Application development experience,Knowledge,1
App developer,Application management,Knowledge,2
App developer,Application security,Knowledge,1
App developer,Application vulnerability analysis,Knowledge,1
App developer,Appointment booking,Other,1
App developer,Aptible,Knowledge,1
App developer,Architectural decision-making,Knowledge,1
App developer,Architectural standards,Knowledge,1
App developer,Architecture,Knowledge,1
App developer,Architecture design,Knowledge,1
App developer,Architecture evolution,Knowledge,1
App developer,Architectures,Knowledge,1
App developer,ArgoCD,Knowledge,1
App developer,Articulation of complex technical concepts,Skill,1
App developer,Artificial Intelligence,Knowledge,1
App developer,Artist entrepreneurship,Other,2
App developer,Artists,Other,1
App developer,Asset management,Knowledge,1
App developer,Asynchronous code,Knowledge,1
App developer,Asynchronous programming,Knowledge,1
App developer,Atlantis,Other,1
App developer,Atlassian suite of products (Confluence/JIRA),Knowledge,1
App developer,Attending events,Other,1
App developer,Attention to,Ability,1
App developer,Attention to detail,Ability,12
App developer,Auction Design,Knowledge,1
App developer,Audio generation,Knowledge,2
App developer,Audit,Knowledge,2
App developer,Automated testing frameworks,Knowledge,1
App developer,Automation,Knowledge,5
App developer,Automation and orchestration,Knowledge,1
App developer,Automation solutions design,Knowledge,2
App developer,Automation tasks,Knowledge,1
App developer,Automation testing,Knowledge,1
App developer,Autonomous,Ability,2
App developer,Autonomy,Ability,1
App developer,Axure,Knowledge,1
App developer,Azure,Knowledge,2
App developer,B.S,Other,3
App developer,B2B lifecycle marketing,Knowledge,1
